codigo_postal;municipio_nombre
01309;Elvillar/Bilar
01309;Laguardia
01309;Leza
01309;Navaridas
01320;Oyón-Oion
01321;Laguardia
01322;Moreda de Álava/Moreda Araba
01322;Oyón-Oion
01322;Yécora/Iekora
01330;Labastida/Bastida
01340;Elciego
01400;Laudio/Llodio
01408;Ayala/Aiara
01409;Okondo
01420;Erriberagoitia/Ribera Alta
01423;Erriberagoitia/Ribera Alta
01423;Añana
01423;Valdegovía/Gaubea
01423;Lantarón
01426;Erriberagoitia/Ribera Alta
01426;Añana
01426;Valdegovía/Gaubea
01427;Valdegovía/Gaubea
01427;Berberana
01427;Jurisdicción de San Zadornil
01428;Erriberagoitia/Ribera Alta
01428;Valdegovía/Gaubea
01428;Iruña Oka/Iruña de Oca
01430;Kuartango
01439;Kuartango
01440;Urkabustaiz
01449;Urkabustaiz
01450;Amurrio
01450;Urkabustaiz
01450;Zuia
01468;Amurrio
01470;Amurrio
01470;Ayala/Aiara
01474;Artziniega
01476;Ayala/Aiara
01477;Ayala/Aiara
01478;Artziniega
01478;Ayala/Aiara
01479;Ayala/Aiara
01510;Arratzua-Ubarrundia
01510;Legutio
01510;Vitoria-Gasteiz
01520;Arratzua-Ubarrundia
01520;Vitoria-Gasteiz
01830;Torrejoncillo
01857;Acebo
02001;Albacete
02002;Albacete
02003;Albacete
02004;Albacete
02005;Albacete
02006;Albacete
02008;Albacete
02013;Peñascosa
02049;Albacete
02071;Albacete
02099;Albacete
02099;Pozo Cañada
02100;Tarazona de la Mancha
02110;Gineta, La
02120;Peñas de San Pedro
02124;Alcadozo
02124;Ayna
02124;Liétor
02125;Ayna
02126;Ayna
02127;Peñas de San Pedro
02128;Alcadozo
02128;Peñas de San Pedro
02129;Pozohondo
02130;Bogarra
02136;Paterna del Madera
02137;Paterna del Madera
02138;Bogarra
02138;Peñascosa
02139;Ayna
02139;Bogarra
02140;Albacete
02141;Pozohondo
02142;Liétor
02142;Pozohondo
02150;Valdeganga
02151;Casas de Juan Núñez
02152;Alatoz
02153;Carcelén
02154;Pozo-Lorente
02154;Villavaliente
02155;Albacete
02156;Chinchilla de Monte-Aragón
02160;Lezuza
02161;Lezuza
02162;Herrera, La
02170;Bollullos Par del Condado
02200;Casas-Ibáñez
02210;Alcalá del Júcar
02211;Alcalá del Júcar
02212;Casas de Ves
02213;Balsa de Ves
02213;Villa de Ves
02214;Alcalá del Júcar
02214;Balsa de Ves
02215;Alborea
02215;Villatoya
02220;Motilleja
02230;Madrigueras
02236;Villalgordo del Júcar
02240;Mahora
02246;Navas de Jorquera
02247;Cenizate
02248;Jorquera
02249;Fuentealbilla
02249;Jorquera
02249;Recueja, La
02250;Abengibre
02251;Fuentealbilla
02253;Golosalvo
02260;Fuentealbilla
02270;Villamalea
02300;Alcaraz
02310;Viveros
02311;Povedilla
02312;Alcaraz
02313;Peñascosa
02314;Alcaraz
02314;Masegoso
02314;Peñascosa
02315;Vianos
02316;Salobre
02320;Balazote
02326;San Pedro
02327;Pozuelo
02328;Albacete
02329;Casas de Lázaro
02330;Alcaraz
02331;Robledo
02332;Robledo
02340;Robledo
02350;Villapalacios
02360;Bienservida
02395;Estepona
02400;Hellín
02409;Hellín
02410;Liétor
02410;Aranda de Duero
02420;Hellín
02430;Elche de la Sierra
02434;Letur
02435;Socovos
02436;Férez
02437;Socovos
02439;Elche de la Sierra
02440;Molinicos
02448;Bogarra
02448;Molinicos
02449;Elche de la Sierra
02449;Molinicos
02450;Riópar
02459;Riópar
02460;Villaverde de Guadalimar
02461;Cotillas
02462;Riópar
02462;Villaverde de Guadalimar
02470;Elche de la Sierra
02480;Yeste
02482;Yeste
02484;Yeste
02485;Yeste
02486;Yeste
02487;Yeste
02488;Yeste
02489;Yeste
02490;Hellín
02498;Hellín
02499;Hellín
02500;Tobarra
02510;Chinchilla de Monte-Aragón
02510;Pozo Cañada
02511;Albacete
02512;Albacete
02513;Tobarra
02514;Tobarra
02520;Chinchilla de Monte-Aragón
02529;Chinchilla de Monte-Aragón
02530;Nerpio
02534;Nerpio
02535;Nerpio
02536;Nerpio
02537;Nerpio
02538;Nerpio
02539;Nerpio
02600;Villarrobledo
02610;Bonillo, El
02611;Ossa de Montiel
02612;Munera
02612;Villarrobledo
02614;Ballestero, El
02620;Minaya
02630;Roda, La
02636;Villalgordo del Júcar
02636;Casas de Benítez
02637;Fuensanta
02638;Montalvos
02639;Barrax
02639;Roda, La
02640;Almansa
02650;Montealegre del Castillo
02651;Fuente-Álamo
02652;Ontur
02653;Albatana
02660;Caudete
02660;Villarrobledo
02690;Alpera
02690;Higueruela
02691;Bonete
02692;Chinchilla de Monte-Aragón
02692;Pétrola
02693;Corral-Rubio
02693;Pétrola
02694;Higueruela
02695;Chinchilla de Monte-Aragón
02696;Hoya-Gonzalo
02999;Ayna
03001;Alicante/Alacant
03002;Alicante/Alacant
03003;Alicante/Alacant
03004;Alicante/Alacant
03005;Alicante/Alacant
03006;Alicante/Alacant
03007;Alicante/Alacant
03008;Alicante/Alacant
03009;Alicante/Alacant
03010;Alicante/Alacant
03011;Alicante/Alacant
03012;Alicante/Alacant
03013;Alicante/Alacant
03014;Alicante/Alacant
03015;Alicante/Alacant
03016;Alicante/Alacant
03100;Jijona/Xixona
03108;Torremanzanas/Torre de les Maçanes, la
03109;Tibi
03110;Mutxamel
03111;Busot
03112;Alicante/Alacant
03113;Alicante/Alacant
03113;Elche/Elx
03114;Alicante/Alacant
03115;Alicante/Alacant
03119;Orihuela
03130;Santa Pola
03138;Alicante/Alacant
03139;Elche/Elx
03140;Guardamar del Segura
03150;Dolores
03158;Catral
03158;Crevillent
03159;Daya Nueva
03160;Almoradí
03169;Algorfa
03170;Rojales
03176;Algorfa
03177;Daya Vieja
03177;Formentera del Segura
03177;San Fulgencio
03178;Benijófar
03179;Almoradí
03179;Formentera del Segura
03181;Torrevieja
03182;Torrevieja
03183;Torrevieja
03184;Torrevieja
03185;Penàguila
03185;Torrevieja
03186;Torrevieja
03187;Montesinos, Los
03188;Torrevieja
03189;Orihuela
03190;Orihuela
03190;Pilar de la Horadada
03191;Pilar de la Horadada
03193;San Miguel de Salinas
03194;Elche/Elx
03195;Elche/Elx
03201;Elche/Elx
03202;Elche/Elx
03203;Elche/Elx
03204;Elche/Elx
03205;Elche/Elx
03206;Elche/Elx
03207;Elche/Elx
03208;Elche/Elx
03290;Elche/Elx
03291;Elche/Elx
03292;Elche/Elx
03293;Elche/Elx
03294;Elche/Elx
03295;Elche/Elx
03296;Elche/Elx
03300;Orihuela
03310;Jacarilla
03311;Orihuela
03312;Orihuela
03313;Orihuela
03314;Orihuela
03315;Orihuela
03316;Benferri
03316;Orihuela
03317;Callosa de Segura
03317;Orihuela
03319;Orihuela
03320;Elche/Elx
03321;Orihuela
03322;Orihuela
03325;Orihuela
03330;Crevillent
03339;Crevillent
03340;Albatera
03348;Granja de Rocamora
03349;San Isidro
03350;Cox
03360;Callosa de Segura
03369;Orihuela
03369;Rafal
03370;Redován
03380;Bigastro
03380;Orihuela
03390;Benejúzar
03400;Villena
03408;Villena
03409;Alicante/Alacant
03409;Cañada
03409;Salinas
03409;Villena
03410;Biar
03420;Castalla
03430;Onil
03440;Ibi
03450;Banyeres de Mariola
03460;Beneixama
03469;Beneixama
03469;Campo de Mirra/Camp de Mirra, el
03501;Benidorm
03502;Benidorm
03503;Benidorm
03509;Finestrat
03510;Callosa d'en Sarrià
03516;Benimantell
03517;Beniardá
03517;Benifato
03517;Confrides
03517;Castell de Guadalest, el
03518;Bolulla
03518;Tàrbena
03520;Polop
03530;Nucia, la
03540;Alicante/Alacant
03550;Alicante/Alacant
03550;Sant Joan d'Alacant
03559;Alicante/Alacant
03560;Campello, el
03569;Aigües
03570;Villajoyosa/Vila Joiosa, la
03578;Relleu
03579;Orxeta
03579;Sella
03580;Alfàs del Pi, l'
03581;Alfàs del Pi, l'
03590;Altea
03599;Altea
03600;Elda
03610;Petrer
03630;Sax
03638;Salinas
03639;Villena
03640;Monóvar/Monòver
03649;Monóvar/Monòver
03650;Pinós, el/Pinoso
03657;Pinós, el/Pinoso
03657;Yecla
03658;Pinós, el/Pinoso
03658;Salinas
03659;Pinós, el/Pinoso
03660;Novelda
03660;Oliva, La
03668;Algueña
03669;Romana, la
03670;Monforte del Cid
03679;Monforte del Cid
03680;Aspe
03688;Fondó de les Neus, el/Hondón de las Nieves
03689;Fondó de les Neus, el/Hondón de las Nieves
03689;Hondón de los Frailes
03689;Orihuela
03690;San Vicente del Raspeig/Sant Vicent del Raspeig
03698;Agost
03699;Alicante/Alacant
03700;Dénia
03709;Dénia
03710;Calp
03720;Benissa
03723;Alcalalí
03724;Teulada
03725;Teulada
03726;Benitachell/Poble Nou de Benitatxell, el
03727;Xaló
03728;Alcalalí
03729;Llíber
03729;Senija
03730;Jávea/Xàbia
03737;Jávea/Xàbia
03738;Jávea/Xàbia
03739;Jávea/Xàbia
03740;Gata de Gorgos
03749;Dénia
03750;Pedreguer
03759;Alcalalí
03759;Beniarbeig
03759;Benidoleig
03760;Ondara
03769;Benimeli
03769;Ràfol d'Almúnia, el
03769;Sanet y Negrals
03770;Dénia
03770;Verger, el
03778;Beniarbeig
03779;Dénia
03779;Poblets, els
03780;Dénia
03780;Pego
03780;Ràfol d'Almúnia, el
03786;Atzúbia, l'
03787;Vall de Gallinera
03788;Vall d'Alcalà, la
03788;Vall de Gallinera
03789;Vall d'Ebo, la
03790;Orba
03791;Orba
03791;Vall de Laguar, la
03792;Murla
03792;Orba
03792;Parcent
03793;Castell de Castells
03794;Benigembla
03795;Orba
03795;Sagra
03795;Tormos
03800;Alcoy/Alcoi
03801;Alcoy/Alcoi
03802;Alcoy/Alcoi
03803;Alcoy/Alcoi
03804;Alcoy/Alcoi
03810;Benilloba
03811;Quatretondeta
03811;Gorga
03812;Balones
03812;Benimassot
03812;Millena
03813;Facheca
03813;Famorca
03813;Tollos
03814;Alcoleja
03814;Benasau
03815;Penàguila
03816;Benifallim
03818;Alcoy/Alcoi
03819;Alcoy/Alcoi
03820;Cocentaina
03827;Almudaina
03827;Benillup
03827;Benimarfull
03828;Planes
03829;Alqueria d'Asnar, l'
03829;Cocentaina
03830;Muro de Alcoy
03837;Agres
03838;Alfafara
03839;Muro de Alcoy
03840;Gaianes
03841;Alcocer de Planes
03850;Beniarrés
03860;Lorcha/Orxa, l'
03870;Cocentaina
04001;Almería
04002;Almería
04003;Almería
04004;Almería
04005;Almería
04006;Almería
04007;Almería
04008;Almería
04009;Almería
04100;Níjar
04110;Níjar
04113;Níjar
04114;Lucainena de las Torres
04114;Níjar
04115;Níjar
04116;Níjar
04117;Níjar
04118;Níjar
04119;Níjar
04120;Almería
04130;Almería
04131;Almería
04140;Carboneras
04149;Carboneras
04149;Níjar
04149;Sorbas
04150;Almería
04151;Níjar
04160;Almería
04200;Tabernas
04210;Lucainena de las Torres
04211;Lucainena de las Torres
04211;Tabernas
04211;Turrillas
04212;Castro de Filabres
04212;Olula de Castro
04212;Velefique
04213;Senés
04230;Huércal de Almería
04240;Viator
04248;Sorbas
04250;Pechina
04259;Pechina
04260;Rioja
04270;Sorbas
04271;Lubrín
04271;Sorbas
04274;Benizalón
04274;Tahal
04274;Uleila del Campo
04275;Tahal
04275;Tíjola
04276;Alcudia de Monteagud
04276;Benitagla
04276;Benizalón
04277;Sorbas
04277;Turre
04278;Sorbas
04279;Sorbas
04279;Tahal
04279;Uleila del Campo
04280;Gallardos, Los
04288;Bédar
04288;Gallardos, Los
04289;Bédar
04289;Gallardos, Los
04289;Sorbas
04400;Alhama de Almería
04409;Alicún
04409;Huécija
04410;Benahadux
04420;Santa Fe de Mondújar
04430;Instinción
04431;Íllar
04440;Rágol
04450;Canjáyar
04450;Gérgal
04458;Almócita
04458;Beires
04458;Padules
04459;Ohanes
04460;Fondón
04470;Láujar de Andarax
04479;Bayárcal
04479;Fondón
04479;Paterna del Río
04480;Alcolea
04500;Fiñana
04510;Abla
04520;Abrucena
04530;Tres Villas, Las
04531;Alboloduy
04532;Tres Villas, Las
04533;Abrucena
04540;Nacimiento
04549;Gérgal
04550;Gérgal
04558;Alboloduy
04558;Gérgal
04559;Gérgal
04560;Gádor
04567;Alhabia
04568;Alsodux
04568;Santa Cruz de Marchena
04569;Bentarique
04569;Terque
04600;Albox
04600;Huércal-Overa
04610;Cuevas del Almanzora
04616;Cuevas del Almanzora
04617;Cuevas del Almanzora
04618;Cuevas del Almanzora
04619;Cuevas del Almanzora
04620;Vera
04628;Antas
04629;Antas
04630;Garrucha
04638;Mojácar
04639;Mojácar
04639;Turre
04640;Oria
04640;Pulpí
04647;Cuevas del Almanzora
04647;Pulpí
04648;Cuevas del Almanzora
04648;Pulpí
04649;Pulpí
04650;Zurgena
04660;Arboleas
04661;Taberno
04661;Zurgena
04662;Huércal-Overa
04662;Zurgena
04690;Huércal-Overa
04691;Huércal-Overa
04692;Albox
04692;Huércal-Overa
04692;Taberno
04693;Huércal-Overa
04694;Huércal-Overa
04700;Ejido, El
04710;Ejido, El
04711;Ejido, El
04712;Ejido, El
04713;Balanegra
04715;Ejido, El
04716;Ejido, El
04720;Roquetas de Mar
04721;Vícar
04727;Vícar
04728;Felix
04729;Enix
04738;Vícar
04740;Roquetas de Mar
04741;Roquetas de Mar
04743;Roquetas de Mar
04745;Mojonera, La
04746;Mojonera, La
04750;Dalías
04760;Berja
04768;Alcolea
04768;Berja
04769;Berja
04770;Adra
04778;Adra
04779;Adra
04800;Albox
04810;Oria
04810;Partaloa
04811;Oria
04812;Albox
04813;Albox
04813;Oria
04814;Albox
04815;Cantoria
04820;Vélez-Rubio
04825;Chirivel
04826;Vélez-Rubio
04827;Vélez-Rubio
04828;Vélez-Rubio
04829;Vélez-Blanco
04829;Vélez-Rubio
04830;Vélez-Blanco
04838;María
04839;María
04839;Vélez-Blanco
04850;Cantoria
04857;Albánchez
04858;Albánchez
04858;Cantoria
04859;Cóbdar
04859;Chercos
04859;Líjar
04860;Olula del Río
04867;Macael
04868;Laroya
04869;Fines
04870;Purchena
04877;Lúcar
04877;Somontín
04878;Sierro
04878;Suflí
04879;Urrácal
04880;Tíjola
04887;Lúcar
04887;Tíjola
04888;Armuña de Almanzora
04888;Bayarque
04889;Bacares
04889;Tíjola
04890;Serón
04897;Alcóntar
04897;Serón
04898;Alcóntar
04898;Serón
04899;Oria
04899;Serón
04964;Huércal-Overa
05001;Ávila
05002;Ávila
05003;Ávila
05004;Ávila
05005;Ávila
05100;Navaluenga
05110;Barraco, El
05111;San Juan de la Nava
05113;Burgohondo
05114;Villanueva de Ávila
05115;Navarrevisca
05115;Serranillos
05116;Serranillos
05120;Navalmoral
05120;Navarredondilla
05120;San Juan del Molinillo
05122;Navaquesera
05122;Navatalgordo
05123;Hoyocasero
05123;Navalosa
05125;Donvidas
05130;Solosancho
05131;Hija de Dios, La
05131;Mengamuñoz
05131;Narros del Puerto
05132;Cepeda la Mora
05132;Hoyos de Miguel Muñoz
05132;San Martín del Pimpollar
05133;San Martín de la Vega del Alberche
05134;Garganta del Villar
05134;Navadijos
05134;Navalacruz
05140;Bularros
05140;Casasola
05140;Marlín
05140;Martiherrero
05141;Chamartín
05141;Gallegos de Altamiros
05141;Narrillos del Rebollar
05141;Sanchorreja
05143;Valdecasa
05145;Manjabálago y Ortigosa de Rioalmar
05145;Muñico
05145;San Juan del Olmo
05146;Blascomillán
05146;Herreros de Suso
05146;Mancera de Arriba
05146;Mirueña de los Infanzones
05146;Parral, El
05146;San García de Ingelmos
05146;Vita
05147;Gallegos de Sobrinos
05147;Hurtumpascual
05148;Cabezas del Villar
05149;Cillán
05149;Solana de Rioalmar
05150;Pascualcobo
05150;Riocabado
05150;San Miguel de Serrezuela
05151;Martínez
05151;Diego del Carpio
05152;Martínez
05153;Arevalillo
05153;Becedillas
05153;Collado del Mirón
05153;Malpartida de Corneja
05153;Mirón, El
05154;Mirón, El
05154;Narrillos del Álamo
05154;Zapardiel de la Cañada
05160;Ávila
05161;Mingorría
05162;Berlanas, Las
05163;Gotarrendura
05163;Monsalupe
05163;Peñalba de Ávila
05164;Hernansancho
05164;Oso, El
05164;Riocabado
05164;San Pascual
05164;Villanueva de Gómez
05165;Bohodón, El
05165;Cabizuela
05165;Pedro-Rodríguez
05165;Tiñosillos
05190;Riofrío
05191;Mironcillo
05191;Niharra
05192;Colilla, La
05192;Muñopepe
05192;Serrada, La
05193;Ojos-Albos
05193;Santa María del Cubillo
05194;Ávila
05194;Berrocalejo de Aragona
05194;Mediana de Voltoya
05195;Ávila
05196;Herradón de Pinares
05196;Tornadizos de Ávila
05197;Ávila
05197;Fresno, El
05197;Gemuño
05198;Poyales del Hoyo
05198;Sotalbo
05200;Arévalo
05210;Horcajo de las Torres
05210;San Juan de la Encinilla
05211;Bernuy-Zapardiel
05211;Cabezas del Pozo
05211;Cantiveros
05211;Cisla
05212;Aldeaseca
05212;Canales
05212;Fuente el Saúz
05212;Fuentes de Año
05212;Villanueva del Aceral
05213;Langa
05215;Donvidas
05215;Palacios de Goda
05215;Sinlabajos
05216;Nava de Arévalo
05217;Cabezas de Alambre
05217;Constanzana
05217;Donjimeno
05217;San Vicente de Arévalo
05220;Madrigal de las Altas Torres
05229;Barromán
05229;Bercial de Zapardiel
05229;Castellanos de Zapardiel
05229;San Esteban de Zapardiel
05230;Navas del Marqués, Las
05239;Navas del Marqués, Las
05239;Peguerinos
05240;Navalperal de Pinares
05250;Hoyo de Pinares, El
05260;Cebreros
05267;San Bartolomé de Pinares
05268;Herradón de Pinares
05268;Santa Cruz de Pinares
05270;Tiemblo, El
05278;Barraco, El
05278;Tiemblo, El
05279;Tiemblo, El
05280;Mingorría
05289;San Esteban de los Patos
05289;Tolbaños
05290;Blascosancho
05290;Sanchidrián
05291;Maello
05292;Pajares de Adaja
05292;Pozanco
05292;Santo Domingo de las Posadas
05292;Vega de Santa María
05292;Velayos
05294;Herradón de Pinares
05296;Adanero
05296;Espinosa de los Caballeros
05296;Gutierre-Muñoz
05296;Orbita
05298;Mamblas
05298;Rasueros
05298;Tolbaños
05299;Blasconuño de Matacabras
05299;Moraleja de Matacabras
05300;Crespos
05309;Collado de Contreras
05309;Crespos
05309;Muñogrande
05309;Rivilla de Barajas
05309;Viñegra de Moraña
05310;Fontiveros
05320;Cardeñosa
05340;Bularros
05350;San Pedro del Arroyo
05357;Aveinte
05357;Brabos
05357;Grandes y San Martín
05357;Muñogrande
05357;Santo Tomé de Zabarcos
05357;Sigeres
05357;Villaflor
05358;Albornos
05358;Muñomer del Peco
05358;Narros de Saldueña
05358;Papatrigo
05358;San Juan de la Encinilla
05364;Hoyos del Espino
05370;Flores de Ávila
05370;Narros del Castillo
05380;Gimialcón
05380;Muñosancho
05380;Salvadiós
05400;Arenas de San Pedro
05410;Mombeltrán
05412;San Esteban del Valle
05413;Mombeltrán
05413;Santa Cruz del Valle
05413;Villarejo del Valle
05414;Cuevas del Valle
05415;Hornillo, El
05416;Arenal, El
05417;Guisando
05418;Arenas de San Pedro
05420;Sotillo de la Adrada
05427;Fresnedilla
05427;Higuera de las Dueñas
05428;Casillas
05429;Casillas
05429;Navahondilla
05429;Santa María del Tiétar
05430;Adrada, La
05440;Piedralaves
05450;Casavieja
05460;Gavilanes
05461;Mijares
05470;Pedro Bernardo
05480;Candeleda
05489;Candeleda
05490;Lanzahíta
05491;Mombeltrán
05492;Poyales del Hoyo
05500;Piedrahíta
05510;Santa María del Berrocal
05511;Santa María del Berrocal
05513;Burgohondo
05514;Bonilla de la Sierra
05514;Mesegar de Corneja
05514;Navaescurial
05514;San Miguel de Corneja
05514;Tórtoles
05515;Piedrahíta
05516;Hoyorredondo
05516;San Bartolomé de Corneja
05516;Villar de Corneja
05519;Gijón
05520;Padiernos
05520;Salobral
05520;Torre, La
05530;Muñogalindo
05530;Santa María del Arroyo
05540;Muñana
05540;Piedralaves
05540;Torre, La
05560;Amavida
05560;Muñotello
05560;Poveda
05560;Pradosegar
05560;Vadillo de la Sierra
05560;Villatoro
05570;Bonilla de la Sierra
05571;Casas del Puerto
05571;Navacepedilla de Corneja
05571;Villafranca de la Sierra
05580;Aldeanueva de Santa Cruz
05580;Avellaneda
05580;Santa María de los Caballeros
05581;Santa María de los Caballeros
05591;Villanueva del Campillo
05592;Santiago del Collado
05593;Aldehuela, La
05600;Barco de Ávila, El
05610;Becedas
05619;Gilbuena
05619;Medinilla
05619;Neila de San Miguel
05619;San Bartolomé de Béjar
05620;Carrera, La
05621;Puerto Castilla
05621;Solana de Ávila
05630;Bohoyo
05630;Santiago del Tormes
05631;Navalperal de Tormes
05631;Zapardiel de la Ribera
05631;San Juan de Gredos
05632;Navalperal de Tormes
05632;San Juan de Gredos
05633;San Juan de Gredos
05634;Hoyos del Collado
05634;Hoyos del Espino
05635;Navarredonda de Gredos
05640;Gavilanes
05690;Bohoyo
05690;Llanos de Tormes, Los
05691;Solana de Ávila
05692;Losar del Barco, El
05693;Gil García
05693;Umbrías
05694;Becedas
05694;Junciana
05695;Horcajada, La
05696;Horcajada, La
05696;San Lorenzo de Tormes
05697;Nava del Barco
05697;Navalonguilla
05697;Navatejares
05697;Tormellas
06001;Badajoz
06002;Badajoz
06003;Badajoz
06004;Badajoz
06005;Badajoz
06006;Badajoz
06007;Badajoz
06008;Badajoz
06009;Badajoz
06010;Badajoz
06011;Badajoz
06020;Bienvenida
06100;Olivenza
06105;Cheles
06106;Olivenza
06107;Olivenza
06108;Olivenza
06109;Olivenza
06110;Villanueva del Fresno
06120;Oliva de la Frontera
06129;Zahínos
06130;Valverde de Leganés
06131;Alconchel
06132;Higuera de Vargas
06133;Táliga
06134;Valencia del Mombuey
06140;Talavera la Real
06150;Santa Marta
06160;Barcarrota
06170;Albuera, La
06170;Badajoz
06171;Almendral
06172;Torre de Miguel Sesmero
06173;Nogales
06174;Haba, La
06174;Salvaleón
06175;Parra, La
06175;Salvatierra de los Barros
06176;Morera, La
06176;Parra, La
06177;Valle de Matamoros
06178;Valle de Santa Ana
06180;Badajoz
06181;Badajoz
06182;Badajoz
06183;Badajoz
06184;Pueblonuevo del Guadiana
06185;Valdelacalzada
06186;Guadiana del Caudillo
06187;Lobón
06190;Roca de la Sierra, La
06191;Puebla de Obando
06192;Villar del Rey
06193;Badajoz
06194;Badajoz
06195;Badajoz
06196;Corte de Peleas
06196;Solana de los Barros
06197;Entrín Bajo
06198;Solana de los Barros
06200;Almendralejo
06207;Aceuchal
06208;Villalba de los Barros
06209;Solana de los Barros
06210;Torremejía
06220;Villafranca de los Barros
06225;Ribera del Fresno
06226;Hinojosa del Valle
06227;Llera
06228;Hornachos
06229;Puebla del Prior
06230;Santos de Maimona, Los
06240;Fuente de Cantos
06249;Calzadilla de los Barros
06250;Bienvenida
06260;Monesterio
06270;Segura de León
06275;Salvatierra de los Barros
06280;Fuentes de León
06290;Usagre
06291;Montemolín
06292;Calera de León
06293;Cabeza la Vaca
06300;Zafra
06310;Puebla de Sancho Pérez
06320;Medina de las Torres
06329;Atalaya
06330;Valencia del Ventoso
06340;Fregenal de la Sierra
06350;Higuera la Real
06360;Fuente del Maestre
06370;Burguillos del Cerro
06378;Valverde de Burguillos
06380;Jerez de los Caballeros
06389;Jerez de los Caballeros
06390;Feria
06391;Lapa, La
06392;Puebla de Sancho Pérez
06393;Alconera
06394;Bodonal de la Sierra
06400;Don Benito
06400;Olivenza
06410;Aceuchal
06410;Don Benito
06410;Guareña
06410;Santa Amalia
06411;Medellín
06412;Don Benito
06413;Mengabril
06420;Castuera
06427;Monterrubio de la Serena
06428;Benquerencia de la Serena
06429;Benquerencia de la Serena
06430;Zalamea de la Serena
06431;Mengabril
06439;Esparragosa de la Serena
06440;Malpartida de la Serena
06441;Higuera de la Serena
06442;Retamal de Llerena
06442;Zalamea de la Serena
06443;Campillo de Llerena
06444;Valencia de las Torres
06445;Higuera de Llerena
06450;Quintana de la Serena
06458;Valle de la Serena
06459;Campanario
06460;Campanario
06468;Magacela
06469;Coronada, La
06470;Guareña
06473;Villagonzalo
06474;Valdetorres
06475;Oliva de Mérida
06476;Palomas
06477;Puebla de la Reina
06478;Manchita
06479;Cristina
06480;Montijo
06486;Nava de Santiago, La
06487;Cordobilla de Lácara
06488;Carmonita
06489;Montijo
06490;Puebla de la Calzada
06498;Lobón
06499;Montijo
06500;San Vicente de Alcántara
06501;Alburquerque
06510;Alburquerque
06518;Codosera, La
06519;Alburquerque
06600;Cabeza del Buey
06610;Peñalsordo
06611;Zarza-Capilla
06612;Capilla
06613;Benquerencia de la Serena
06614;Cabeza del Buey
06615;Benquerencia de la Serena
06620;Esparragosa de Lares
06630;Puebla de Alcocer
06640;Talarrubias
06650;Siruela
06650;Talarrubias
06655;Sancti-Spíritus
06656;Garlitos
06657;Risco
06658;Tamurejo
06659;Baterno
06660;Fuenlabrada de los Montes
06670;Burguillos del Cerro
06670;Herrera del Duque
06678;Villarta de los Montes
06679;Herrera del Duque
06680;Castilblanco
06689;Valdecaballeros
06690;Garbayuela
06692;Helechosa de los Montes
06700;Villanueva de la Serena
06710;Villanueva de la Serena
06711;Don Benito
06712;Villanueva de la Serena
06713;Acedera
06714;Haba, La
06715;Rena
06716;Villar de Rena
06717;Don Benito
06717;Villar de Rena
06718;Villanueva de la Serena
